USUARIO;MES;FECHA;TECNICO;INICIO;FINAL;TIEMPO ATENCION;CONTACTO;CLIENTE;LINEA;CANAL;VENDEDOR;MARCA;MODELO;SERIE;TIPO DE ATENCION;MOTIVO;MOTIVO DE LA ATENCIÓN;DESCRIPCIÓN DE LA ACTIVIDAD;TEMA
DAHAINA ESPINOZA;OCTUBRE;03/10/2025;ESPINOZA;14:40;15:00;00:20;;SYSTEM NETWORK;15EQUIPCOM;MINORISTA;;TP-LINK;EAP660HD;;REMOTO;CONSULTA TECNICA;CONSULTA TECNICA;ASESORÍA RESPECTO A LAS FUNCIONES Y USOS DE LOS EQUIPOS;
DAHAINA ESPINOZA;OCTUBRE;06/10/2025;ESPINOZA;09:30;10:00;00:30;;KROTON;74DAHUA;;;DAHUA;DH-IPC-HFW5449T1-ZE-LED;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;06/10/2025;ESPINOZA;10:00;10:30;00:30;;KROTON;74DAHUA;;;DAHUA;LS550-WS;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;06/10/2025;ESPINOZA;10:40;11:10;00:30;;KROTON;74DAHUA;;;DAHUA;LS550-WX4;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;06/10/2025;ESPINOZA;11:20;11:50;00:30;;KROTON;74DAHUA;;;DAHUA;LS550-X4;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;06/10/2025;ESPINOZA;12:00;12:30;00:30;;KROTON;74DAHUA;;;DAHUA;DH-W-HDMI10M-4K;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;06/10/2025;ESPINOZA;12:40;13:10;00:30;;KROTON;74DAHUA;;;DAHUA;PFA118;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;06/10/2025;ESPINOZA;14:00;14:30;00:30;;KROTON;74DAHUA;;;DAHUA;DHI-LS550UEM-EF;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;06/10/2025;ESPINOZA;14:40;15:10;00:30;;KROTON;74DAHUA;;;DAHUA;DH-DHL-FJ;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;06/10/2025;ESPINOZA;15:20;15:50;00:30;;KROTON;74DAHUA;;;DAHUA;DH-PFA152-E;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;06/10/2025;ESPINOZA;16:00;16:30;00:30;;KROTON;74DAHUA;;;DAHUA;DHI-LS-HW;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;06/10/2025;ESPINOZA;16:40;17:10;00:30;;KROTON;74DAHUA;;;DAHUA;DH-IPC-HFW5449T1-ZE-LED;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;07/10/2025;ESPINOZA;09:30;10:00;00:30;;KROTON;74DAHUA;;;DAHUA;DH-SD6E445MB-HNR-A-PV1;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;07/10/2025;ESPINOZA;10:00;10:30;00:30;;KROTON;74DAHUA;;;DAHUA;DH-IPC-HDBW5459E1-ZE-IL;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;07/10/2025;ESPINOZA;10:40;11:10;00:30;;KROTON;74DAHUA;;;DAHUA;DH-IPC-HDW3849H-ZAS-PV-PRO;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;07/10/2025;ESPINOZA;14:50;15:20;00:30;;KROTON;74DAHUA;;;DAHUA;DH-IPC-HDW3449H-ZAS-PV-PRO;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;07/10/2025;ESPINOZA;15:30;16:00;00:30;;KROTON;74DAHUA;;;DAHUA;DH-IPC-HFW3849T1-ZAS-PV-PRO;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;07/10/2025;ESPINOZA;16:10;16:40;00:30;;KROTON;74DAHUA;;;DAHUA;DH-IPC-HFW3449T1-ZAS-PV-PRO;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;07/10/2025;ESPINOZA;16:50;17:20;00:30;;KROTON;74DAHUA;;;DAHUA;DH-IPC-HFW5459E1-ZE-I;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;08/10/2025;ESPINOZA;09:30;10:00;00:30;;KROTON;74DAHUA;;;DAHUA;DH-XVR5104HS-5M-I3/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;08/10/2025;ESPINOZA;10:00;10:30;00:30;;KROTON;74DAHUA;;;DAHUA;DH-XVR5108HS-5M-I3/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;08/10/2025;ESPINOZA;10:40;11:10;00:30;;KROTON;74DAHUA;;;DAHUA;DH-XVR5216AN-5M-I3/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;08/10/2025;ESPINOZA;11:20;11:50;00:30;;KROTON;74DAHUA;;;DAHUA;DH-XVR5232AN-5M-I3/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;08/10/2025;ESPINOZA;12:00;12:30;00:30;;KROTON;74DAHUA;;;DAHUA;DH-XVR5116HS-5M-I3/T;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;08/10/2025;ESPINOZA;12:40;13:10;00:30;;KROTON;74DAHUA;;;DAHUA;DH-IPC-HDW1239T1-A-IL;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;08/10/2025;ESPINOZA;14:00;14:30;00:30;;KROTON;74DAHUA;;;DAHUA;DH-HAC-HMW3200LN;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;08/10/2025;ESPINOZA;14:40;15:10;00:30;;KROTON;74DAHUA;;;DAHUA;DH-IPC-PT2449C1-S-PV-PRO;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;08/10/2025;ESPINOZA;15:20;15:50;00:30;;KROTON;74DAHUA;;;DAHUA;DH-IPC-PT2449C1-S-PV-PRO;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;08/10/2025;ESPINOZA;16:00;16:30;00:30;;KROTON;74DAHUA;;;DAHUA;DH-IPC-PT2849C1-S-PV-PRO;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;08/10/2025;ESPINOZA;16:40;17:10;00:30;;KROTON;74DAHUA;;;DAHUA;DH-IPC-PT2849C1-S-PV-PRO;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;09/10/2025;ESPINOZA;09:30;10:00;00:30;;KROTON;74DAHUA;;;DAHUA;DH-SD4D825MB-HNR;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;09/10/2025;ESPINOZA;10:00;10:30;00:30;;KROTON;74DAHUA;;;DAHUA;DH-CS4010-8ET2GT-110;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;09/10/2025;ESPINOZA;10:40;11:10;00:30;;KROTON;74DAHUA;;;DAHUA;DH-CS4010-8ET2GT-110;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;09/10/2025;ESPINOZA;11:20;11:50;00:30;;KROTON;74DAHUA;;;DAHUA;DHI-ASI2212J-PW;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;09/10/2025;ESPINOZA;12:00;14:00;02:00;;KROTON;74DAHUA;;;DAHUA;DHI-ASI2212J-PW;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;09/10/2025;ESPINOZA;14:20;14:40;00:20;;GRUPO HUANUCO;15EQUIPCOM;MINORISTA;;TP-LINK;MC112CS;;REMOTO;PREVENTA;PREVENTA;IDENTIFICACIÓN DE EQUIPOS SOLICITADOS PARA SOLUCIONES O PROYECTOS;
DAHAINA ESPINOZA;OCTUBRE;10/10/2025;ESPINOZA;09:30;11:00;01:30;;KROTON;27AMPLCATV;;;DIXON;D880GW-AX3000;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;13/10/2025;ESPINOZA;09:30;11:00;01:30;;KROTON;;;;HUAWEI;K562e-10;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
DAHAINA ESPINOZA;OCTUBRE;14/10/2025;ESPINOZA;16:00;17:40;01:40;MIGUEL SILES;KROTON;;OPERADORES;;ZTE;;;REMOTO;CAPACITACION;WEBINAR CET;CAPACITACIÓN PARA USUARIOS FINALES;
DAHAINA ESPINOZA;OCTUBRE;21/10/2025;ESPINOZA;09:30;11:00;01:30;;KROTON;86IMOU;;;IMOU;IPC-K7FN-8V0N;;REMOTO;HOMOLOGACION;HOMOLOGACIÓN;HOMOLOGACIÓN DE EQUIPOS EN MTC;
